,ts_code,symbol,name,area,industry,fullname,list_status
1021,002566.SZ,002566,益盛药业,吉林,中成药,吉林省集安益盛药业股份有限公司,L
1022,002567.SZ,002567,唐人神,湖南,饲料,唐人神集团股份有限公司,L
1023,002568.SZ,002568,百润股份,上海,红黄药酒,上海百润投资控股集团股份有限公司,L
1024,002569.SZ,002569,*ST步森,浙江,服饰,浙江步森服饰股份有限公司,L
1025,002570.SZ,002570,贝因美,浙江,乳制品,贝因美婴童食品股份有限公司,L
1026,002571.SZ,002571,德力股份,安徽,玻璃,安徽德力日用玻璃股份有限公司,L
1027,002572.SZ,002572,索菲亚,广东,家居用品,索菲亚家居股份有限公司,L
1028,002573.SZ,002573,清新环境,北京,环境保护,北京清新环境技术股份有限公司,L
1029,002574.SZ,002574,明牌珠宝,浙江,服饰,浙江明牌珠宝股份有限公司,L
1030,002575.SZ,002575,群兴玩具,广东,文教休闲,广东群兴玩具股份有限公司,L
1031,002576.SZ,002576,通达动力,江苏,电气设备,江苏通达动力科技股份有限公司,L
1032,002577.SZ,002577,雷柏科技,深圳,电脑设备,深圳雷柏科技股份有限公司,L
1033,002578.SZ,002578,闽发铝业,福建,铝,福建省闽发铝业股份有限公司,L
1034,002579.SZ,002579,中京电子,广东,元器件,惠州中京电子科技股份有限公司,L
1035,002580.SZ,002580,圣阳股份,山东,电气设备,山东圣阳电源股份有限公司,L
1036,002581.SZ,002581,未名医药,山东,生物制药,山东未名生物医药股份有限公司,L
1037,002582.SZ,002582,好想你,河南,食品,好想你健康食品股份有限公司,L
1038,002583.SZ,002583,海能达,深圳,通信设备,海能达通信股份有限公司,L
1039,002584.SZ,002584,西陇科学,广东,化工原料,西陇科学股份有限公司,L
1040,002585.SZ,002585,双星新材,江苏,塑料,江苏双星彩塑新材料股份有限公司,L
1041,002586.SZ,002586,围海股份,浙江,建筑施工,浙江省围海建设集团股份有限公司,L
1042,002587.SZ,002587,奥拓电子,深圳,元器件,深圳市奥拓电子股份有限公司,L
1043,002588.SZ,002588,史丹利,山东,农药化肥,史丹利农业集团股份有限公司,L
1044,002589.SZ,002589,瑞康医药,山东,医药商业,瑞康医药集团股份有限公司,L
1045,002590.SZ,002590,万安科技,浙江,汽车配件,浙江万安科技股份有限公司,L
1046,002591.SZ,002591,恒大高新,江西,化工原料,江西恒大高新技术股份有限公司,L
1047,002592.SZ,002592,八菱科技,广西,汽车配件,南宁八菱科技股份有限公司,L
1048,002593.SZ,002593,日上集团,福建,汽车配件,厦门日上集团股份有限公司,L
1049,002594.SZ,002594,比亚迪,深圳,汽车整车,比亚迪股份有限公司,L
1050,002595.SZ,002595,豪迈科技,山东,专用机械,山东豪迈机械科技股份有限公司,L
1051,002596.SZ,002596,海南瑞泽,海南,其他建材,海南瑞泽新型建材股份有限公司,L
1052,002597.SZ,002597,金禾实业,安徽,化工原料,安徽金禾实业股份有限公司,L
1053,002598.SZ,002598,山东章鼓,山东,机械基件,山东省章丘鼓风机股份有限公司,L
1054,002599.SZ,002599,盛通股份,北京,广告包装,北京盛通印刷股份有限公司,L
1055,002600.SZ,002600,领益智造,广东,元器件,广东领益智造股份有限公司,L
1056,002601.SZ,002601,龙蟒佰利,河南,化工原料,龙蟒佰利联集团股份有限公司,L
1057,002602.SZ,002602,世纪华通,浙江,汽车配件,浙江世纪华通集团股份有限公司,L
1058,002603.SZ,002603,以岭药业,河北,中成药,石家庄以岭药业股份有限公司,L
1059,002605.SZ,002605,姚记扑克,上海,文教休闲,上海姚记扑克股份有限公司,L
1060,002606.SZ,002606,大连电瓷,辽宁,电气设备,大连电瓷集团股份有限公司,L
1061,002607.SZ,002607,中公教育,安徽,文教休闲,中公教育科技股份有限公司,L
1062,002608.SZ,002608,江苏国信,江苏,火力发电,江苏国信股份有限公司,L
1063,002609.SZ,002609,捷顺科技,深圳,软件服务,深圳市捷顺科技实业股份有限公司,L
1064,002610.SZ,002610,爱康科技,江苏,电气设备,江苏爱康科技股份有限公司,L
1065,002611.SZ,002611,东方精工,广东,轻工机械,广东东方精工科技股份有限公司,L
1066,002612.SZ,002612,朗姿股份,北京,服饰,朗姿股份有限公司,L
1067,002613.SZ,002613,北玻股份,河南,专用机械,洛阳北方玻璃技术股份有限公司,L
1068,002614.SZ,002614,奥佳华,福建,医疗保健,奥佳华智能健康科技集团股份有限公司,L
1069,002615.SZ,002615,哈尔斯,浙江,家居用品,浙江哈尔斯真空器皿股份有限公司,L
1070,002616.SZ,002616,长青集团,广东,环境保护,广东长青(集团)股份有限公司,L
1071,002617.SZ,002617,露笑科技,浙江,电气设备,露笑科技股份有限公司,L
1072,002618.SZ,002618,丹邦科技,深圳,元器件,深圳丹邦科技股份有限公司,L
1073,002619.SZ,002619,艾格拉斯,浙江,互联网,艾格拉斯股份有限公司,L
1074,002620.SZ,002620,瑞和股份,深圳,装修装饰,深圳瑞和建筑装饰股份有限公司,L
1075,002621.SZ,002621,美吉姆,辽宁,专用机械,大连美吉姆教育科技股份有限公司,L
1076,002622.SZ,002622,融钰集团,吉林,综合类,融钰集团股份有限公司,L
1077,002623.SZ,002623,亚玛顿,江苏,玻璃,常州亚玛顿股份有限公司,L
1078,002624.SZ,002624,完美世界,浙江,影视音像,完美世界股份有限公司,L
1079,002625.SZ,002625,光启技术,浙江,汽车配件,光启技术股份有限公司,L
1080,002626.SZ,002626,金达威,福建,食品,厦门金达威集团股份有限公司,L
1081,002627.SZ,002627,宜昌交运,湖北,公共交通,湖北宜昌交运集团股份有限公司,L
1082,002628.SZ,002628,成都路桥,四川,建筑施工,成都市路桥工程股份有限公司,L
1083,002629.SZ,002629,*ST仁智,浙江,石油开采,浙江仁智股份有限公司,L
1084,002630.SZ,002630,华西能源,四川,专用机械,华西能源工业股份有限公司,L
1085,002631.SZ,002631,德尔未来,江苏,家居用品,德尔未来科技控股集团股份有限公司,L
1086,002632.SZ,002632,道明光学,浙江,化工原料,道明光学股份有限公司,L
1087,002633.SZ,002633,申科股份,浙江,机械基件,申科滑动轴承股份有限公司,L
1088,002634.SZ,002634,棒杰股份,浙江,服饰,浙江棒杰控股集团股份有限公司,L
1089,002635.SZ,002635,安洁科技,江苏,电脑设备,苏州安洁科技股份有限公司,L
1090,002636.SZ,002636,金安国纪,上海,元器件,金安国纪科技股份有限公司,L
1091,002637.SZ,002637,赞宇科技,浙江,日用化工,赞宇科技集团股份有限公司,L
1092,002638.SZ,002638,勤上股份,广东,文教休闲,东莞勤上光电股份有限公司,L
1093,002639.SZ,002639,雪人股份,福建,专用机械,福建雪人股份有限公司,L
1094,002640.SZ,002640,跨境通,山西,服饰,跨境通宝电子商务股份有限公司,L
1095,002641.SZ,002641,永高股份,浙江,塑料,永高股份有限公司,L
1096,002642.SZ,002642,*ST荣联,北京,软件服务,北京荣之联科技股份有限公司,L
1097,002643.SZ,002643,万润股份,山东,化工原料,中节能万润股份有限公司,L
1098,002644.SZ,002644,佛慈制药,甘肃,中成药,兰州佛慈制药股份有限公司,L
1099,002645.SZ,002645,华宏科技,江苏,专用机械,江苏华宏科技股份有限公司,L
1100,002646.SZ,002646,青青稞酒,青海,白酒,青海互助青稞酒股份有限公司,L
1101,002647.SZ,002647,仁东控股,浙江,多元金融,仁东控股股份有限公司,L
1102,002648.SZ,002648,卫星石化,浙江,化工原料,浙江卫星石化股份有限公司,L
1103,002649.SZ,002649,博彦科技,北京,软件服务,博彦科技股份有限公司,L
1104,002650.SZ,002650,加加食品,湖南,食品,加加食品集团股份有限公司,L
1105,002651.SZ,002651,利君股份,四川,专用机械,成都利君实业股份有限公司,L
1106,002652.SZ,002652,扬子新材,江苏,其他建材,苏州扬子江新型材料股份有限公司,L
1107,002653.SZ,002653,海思科,西藏,化学制药,海思科医药集团股份有限公司,L
1108,002654.SZ,002654,万润科技,深圳,半导体,深圳万润科技股份有限公司,L
1109,002655.SZ,002655,共达电声,山东,元器件,共达电声股份有限公司,L
1110,002656.SZ,002656,摩登大道,广东,服饰,摩登大道时尚集团股份有限公司,L
1111,002657.SZ,002657,中科金财,北京,软件服务,北京中科金财科技股份有限公司,L
1112,002658.SZ,002658,雪迪龙,北京,环境保护,北京雪迪龙科技股份有限公司,L
1113,002659.SZ,002659,凯文教育,江苏,文教休闲,北京凯文德信教育科技股份有限公司,L
1114,002660.SZ,002660,茂硕电源,深圳,电气设备,茂硕电源科技股份有限公司,L
1115,002661.SZ,002661,克明面业,湖南,食品,克明面业股份有限公司,L
1116,002662.SZ,002662,京威股份,北京,汽车配件,北京威卡威汽车零部件股份有限公司,L
1117,002663.SZ,002663,普邦股份,广东,建筑施工,广州普邦园林股份有限公司,L
1118,002664.SZ,002664,长鹰信质,浙江,汽车配件,长鹰信质科技股份有限公司,L
1119,002665.SZ,002665,首航节能,北京,电气设备,北京首航艾启威节能技术股份有限公司,L
1120,002666.SZ,002666,德联集团,广东,化工原料,广东德联集团股份有限公司,L
1121,002667.SZ,002667,鞍重股份,辽宁,工程机械,鞍山重型矿山机器股份有限公司,L
1122,002668.SZ,002668,奥马电器,广东,家用电器,广东奥马电器股份有限公司,L
1123,002669.SZ,002669,康达新材,上海,化工原料,上海康达化工新材料股份有限公司,L
1124,002670.SZ,002670,国盛金控,广东,证券,国盛金融控股集团股份有限公司,L
1125,002671.SZ,002671,龙泉股份,山东,其他建材,山东龙泉管道工程股份有限公司,L
1126,002672.SZ,002672,东江环保,广东,环境保护,东江环保股份有限公司,L
1127,002673.SZ,002673,西部证券,陕西,证券,西部证券股份有限公司,L
1128,002674.SZ,002674,兴业科技,福建,纺织,兴业皮革科技股份有限公司,L
1129,002675.SZ,002675,东诚药业,山东,化学制药,烟台东诚药业集团股份有限公司,L
1130,002676.SZ,002676,顺威股份,广东,塑料,广东顺威精密塑料股份有限公司,L
1131,002677.SZ,002677,浙江美大,浙江,家用电器,浙江美大实业股份有限公司,L
1132,002678.SZ,002678,珠江钢琴,广东,文教休闲,广州珠江钢琴集团股份有限公司,L
1133,002679.SZ,002679,福建金森,福建,林业,福建金森林业股份有限公司,L
1134,002681.SZ,002681,奋达科技,深圳,家用电器,深圳市奋达科技股份有限公司,L
1135,002682.SZ,002682,龙洲股份,福建,公路,龙洲集团股份有限公司,L
1136,002683.SZ,002683,宏大爆破,广东,化工原料,广东宏大爆破股份有限公司,L
1137,002684.SZ,002684,*ST猛狮,广东,电气设备,广东猛狮新能源科技股份有限公司,L
1138,002685.SZ,002685,华东重机,江苏,工程机械,无锡华东重型机械股份有限公司,L
1139,002686.SZ,002686,亿利达,浙江,专用机械,浙江亿利达风机股份有限公司,L
1140,002687.SZ,002687,乔治白,浙江,服饰,浙江乔治白服饰股份有限公司,L
1141,002688.SZ,002688,金河生物,内蒙,化学制药,金河生物科技股份有限公司,L
1142,002689.SZ,002689,远大智能,辽宁,运输设备,沈阳远大智能工业集团股份有限公司,L
1143,002690.SZ,002690,美亚光电,安徽,专用机械,合肥美亚光电技术股份有限公司,L
1144,002691.SZ,002691,冀凯股份,河北,专用机械,冀凯装备制造股份有限公司,L
1145,002692.SZ,002692,远程股份,江苏,电气设备,远程电缆股份有限公司,L
1146,002693.SZ,002693,双成药业,海南,化学制药,海南双成药业股份有限公司,L
1147,002694.SZ,002694,顾地科技,湖北,塑料,顾地科技股份有限公司,L
1148,002695.SZ,002695,煌上煌,江西,食品,江西煌上煌集团食品股份有限公司,L
1149,002696.SZ,002696,百洋股份,广西,渔业,百洋产业投资集团股份有限公司,L
